row,col,value
3209,186,68.3386688
3209,187,68.6303329
3209,188,69.0585022
3209,189,69.2990036
3209,190,69.6937485
3209,191,69.7474976
3209,192,70.2340012
3209,193,70.5907516
3209,194,70.5453339
3209,195,71.2795029
3210,183,67.3007965
3210,184,67.9976654
3210,185,68.3960037
3210,186,68.6953354
3210,187,68.9725037
3210,188,69.4215012
3210,189,69.8122482
3210,190,70.1080017
3210,191,70.3355026
3210,192,70.3590012
3210,193,70.7720032
3210,194,71.133667
3210,195,71.8190002
3210,196,72.2676697
3210,197,72.4617462
3211,183,67.5972519
3211,184,67.8952026
3211,185,68.7450027
3211,186,69.2699966
3211,187,69.4430008
3211,188,69.6648331
3211,189,70.0476685
3211,190,70.4824982
3211,191,71.0719986
3211,192,70.9032516
3211,193,71.3366699
3211,194,71.9430008
3211,195,72.3646698
3211,196,73.1169968
3211,197,72.9657974
3211,198,73.0108337
3212,184,68.8167496
3212,185,69.1539993
3212,186,69.4629974
3212,187,69.7750015
3212,188,70.2570038
3212,189,71.216835
3212,190,71.6539993
3212,191,71.7866669
3212,192,71.3752518
3212,193,71.8883362
3212,194,72.2676697
3212,195,72.7956924
3212,196,72.9518814
3212,197,72.9957504
3212,198,72.9054489
3212,199,72.7838593
3213,185,69.4112473
3213,186,69.8330002
3213,187,70.7716675
3213,188,71.5070038
3213,189,71.685997
3213,190,71.925499
3213,191,71.9022522
3213,192,72.026001
3213,193,72.1007538
3213,194,72.6320038
3213,195,73.3075027
3213,196,73.5380783
3213,197,73.581131
3213,198,73.4994965
3213,199,73.4014969
3213,1141,0
3214,186,71.5329971
3214,187,71.5940018
3214,188,71.9899979
3214,189,71.9473343
3214,190,72.0622482
3214,191,72.019165
3214,192,72.3855972
3214,193,72.4627991
3214,194,72.9097519
3214,195,73.4000015
3214,196,73.7788467
3214,197,73.630249
3214,198,73.62117
3214,199,73.6091385
3214,200,73.5270004
3215,187,71.9690018
3215,188,72.1699982
3215,189,72.3478012
3215,190,72.4116669
3215,191,72.4217529
3215,192,72.5080032
3215,193,72.9937515
3215,194,73.2196655
3215,195,73.5335007
3215,196,73.8755035
3215,197,73.8105011
3215,198,73.7507477
3215,199,74.0664673
3215,200,73.9589996
3215,201,73.9850006
3216,187,72.4311981
3216,188,72.4899979
3216,189,72.6722031
3216,190,72.7883987
3216,191,72.7443314
3216,192,72.8190002
3216,193,73.4064026
3216,194,73.6003342
3216,195,74.0792465
3216,196,74.2419968
3216,197,74.0500031
3216,198,74.0940018
3216,199,73.894249
3216,200,73.8710022
3216,201,74.2234268
3216,202,74.5122528
3217,188,72.9865036
3217,189,73.0045013
3217,190,72.7939987
3217,191,72.8582535
3217,192,73.3516693
3217,193,73.8830032
3217,194,74.0797501
3217,195,74.447197
3217,196,74.8649979
3217,197,74.2190018
3217,198,74.0970001
3217,199,74.1090012
3217,200,74.6849976
3217,201,75.4290009
3217,202,75.1920013
3217,203,75.1345978
3218,189,73.2774963
3218,190,73.3054962
3218,191,73.5777512
3218,192,74.0122528
3218,193,74.3542023
3218,194,74.5518036
3218,195,74.7699966
3218,196,75.2594986
3218,197,75.1309967
3218,198,75.0386658
3218,199,75.1579971
3218,200,75.3567963
3218,201,75.5254974
3218,202,75.7247772
3218,203,75.6333008
3218,204,75.8297119
3218,2663,0
3219,190,73.9213333
3219,191,74.2590027
3219,192,74.5672531
3219,193,74.8000031
3219,194,75.0262527
3219,195,75.1912537
3219,196,75.6490021
3219,197,76.0603333
3219,198,75.6869965
3219,199,75.9447479
3219,200,75.9294968
3219,201,76.0172501
3219,202,76.1071701
3219,203,76.1486282
3219,204,76.2720032
3219,205,76.5960007
3220,191,74.8619995
3220,192,75.0839996
3220,193,75.3119965
3220,194,75.5985031
3220,195,75.7563324
3220,196,76.0100021
3220,197,76.1126633
3220,198,76.1340027
3220,199,76.213501
3220,200,76.3570023
3220,201,76.8799973
3220,202,76.9411697
3220,203,76.7585983
3220,204,76.7791977
3220,205,77.0975037
3220,206,77.6061249
3221,191,75.2416687
3221,192,75.487999
3221,193,75.7377472
3221,194,76.024498
3221,195,76.2016678
3221,196,76.4160004
3221,197,76.6910019
3221,198,76.6169968
3221,199,76.9146652
3221,200,76.9889984
3221,201,77.0021133
3221,202,77.1007538
3221,203,77.3114471
3221,204,77.2852478
3221,205,77.5189972
3221,206,78.0479965
3221,1498,56.2939987
3222,192,75.9824982
3222,193,76.2375031
3222,194,76.4555969
3222,195,76.6395035
3222,196,76.887001
3222,197,77.0749969
3222,198,77.2389984
3222,199,77.4366684
3222,200,77.3016663
3222,201,77.6421051
3222,202,77.6088867
3222,203,77.8800049
3222,204,77.9257965
3222,205,78.0469971
3222,206,78.4385986
3222,207,79.034996
3223,193,76.5996704
3223,194,76.8339996
3223,195,77.2005005
3223,196,77.4505005
3223,197,77.5643997
3223,198,77.6149979
3223,199,77.7354965
3223,200,77.8085022
3223,201,77.8763351
3223,202,78.0701675
3223,203,78.5055008
3223,204,78.4766464
3223,205,78.4794006
3223,206,78.84375
3223,207,79.3619995
3223,208,80.67733
3224,194,77.7699966
3224,195,78.1295013
3224,196,77.998497
3224,197,77.9873352
3224,198,78.1080017
3224,199,78.1559982
3224,200,78.1439972
3224,201,78.6093369
3224,202,78.7359772
3224,203,78.568428
3224,204,78.9051666
3224,205,79.1247482
3224,206,79.3013306
3224,207,79.7196655
3224,208,80.5323334
3224,209,81.2175751
3225,195,78.5370026
3225,196,78.3953323
3225,197,78.3949966
3225,198,78.5650024
3225,199,78.7460022
3225,200,78.7057495
3225,201,78.7406693
3225,202,79.250412
3225,203,79.2987213
3225,204,79.4049988
3225,205,79.5830002
3225,206,79.8384018
3225,207,80.0645981
3225,208,80.5682526
3225,209,81.2116699
3225,210,81.7494278
3225,2658,0
3226,195,78.8580017
3226,196,78.8840027
3226,197,78.8270035
3226,198,79.0139999
3226,199,79.2634964
3226,200,79.5818024
3226,201,79.6139984
3226,202,79.8379974
3226,203,79.4945984
3226,204,80.0563354
3226,205,80.2160034
3226,206,80.3341446
3226,207,80.5347977
3226,208,80.8392487
3226,209,81.3701401
3226,210,81.8789978
3226,211,82.164238
3226,1130,0
3227,196,79.3089981
3227,197,79.3730011
3227,198,79.3649979
3227,199,79.8304977
3227,200,79.8919983
3227,201,79.9680023
3227,202,80.3740005
3227,203,80.4833755
3227,204,80.4141083
3227,205,80.5708008
3227,206,80.7222519
3227,207,81.0554962
3227,208,81.2580032
3227,209,81.6214981
3227,210,82.0080032
3227,211,82.414093
3227,212,82.7634277
3228,197,79.7070007
3228,198,79.8006668
3228,199,80.1750031
3228,200,80.2632523
3228,201,80.4787521
3228,202,80.6606674
3228,203,81.1723328
3228,204,80.777298
3228,205,80.7621994
3228,206,81.5009995
3228,207,81.4228592
3228,208,81.7636032
3228,209,82.0332031
3228,210,82.3347244
3228,211,82.7711563
3228,212,83.1541977
3228,213,83.7154999
3229,198,80.2042465
3229,199,80.3733368
3229,200,80.5013351
3229,201,80.6490021
3229,202,81.0387115
3229,203,81.07267
3229,204,81.4946671
3229,205,81.661232
3229,206,81.9229965
3229,207,81.7519989
3229,208,82.1317978
3229,209,82.4837494
3229,210,82.8899994
3229,211,83.1192017
3229,212,83.4476242
3229,213,83.7949982
3230,199,81.0429993
3230,200,81.1825027
3230,201,81.3935013
3230,202,81.6081467
3230,203,81.6669998
3230,204,82.0774994
3230,205,81.9575577
3230,206,81.9541397
3230,207,82.0788727
3230,208,82.3666687
3230,209,82.6988297
3230,210,83.2313004
3230,211,83.4923325
3230,212,83.6975021
3230,213,84.1480026
3230,214,84.3937531
3230,2654,0
3231,199,81.4994965
3231,200,81.9704971
3231,201,82.1664963
3231,202,82.4794998
3231,203,82.2740021
3231,204,82.086113
3231,205,82.2394867
3231,206,82.3309174
3231,207,82.3867493
3231,208,82.4919968
3231,209,82.7568741
3231,210,83.0975571
3231,211,83.3767166
3231,212,83.7115707
3231,213,84.038002
3231,214,84.5357513
3231,215,84.9169998
3232,200,82.4756012
3232,201,82.822197
3232,202,83.0510025
3232,203,82.7855988
3232,204,82.690361
3232,205,82.6864777
3232,206,82.433754
3232,207,82.6218338
3232,208,82.8251648
3232,209,82.9520035
3232,210,83.1537781
3232,211,83.4611816
3232,212,83.7705002
3232,213,84.121666
3232,214,84.6286011
3232,215,85.3321457
3232,216,85.5251465
3232,1125,0
3233,201,83.4260025
3233,202,83.4706268
3233,203,83.234375
3233,204,83.7843781
3233,205,82.4503326
3233,206,82.7929993
3233,207,83.1916656
3233,208,83.1171799
3233,209,83.2250977
